链接	小区	户型	面积(平米)	朝向	装修	是否电梯	成交年月	成交日期	总价(万)	楼层	总楼层数	建筑年份	签约来源	单价(元/平)	状态
http://bj.lianjia.com/chengjiao/BJHD90601373.html	西山公馆	1室0厅	42	东	其他	有电梯	2015-12	2015.12.06	187	中楼层	共6层	2010年建板楼	链家网签约	44481	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD90824747.html	西山公馆	3室2厅	151	南 北	精装	有电梯	2015-12	2015.12.05	790	高楼层	共7层	2010年建板楼	链家网签约	52412	房本满两年
http://bj.lianjia.com/chengjiao/BJHD90624248.html	西山公馆	1室0厅	43	东	精装	有电梯	2015-12	2015.12	暂无	低楼层	共6层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD89879579.html	西山公馆	1室1厅	72	西南	其他	有电梯	2015-12	2015.12	暂无	低楼层	共6层	2010年建板楼	可靠第三方成交	暂无均价	房本满两年
http://bj.lianjia.com/chengjiao/BJHD91233005.html	西山公馆	1室1厅	70	东	精装	有电梯	2015-12	2015.12	暂无	高楼层	共6层	2010年建板楼	可靠第三方成交	暂无均价	房本满两年
http://bj.lianjia.com/chengjiao/BJHD90324906.html	西山公馆	2室2厅	119	东 西	精装	有电梯	2015-11	2015.11.08	565	中楼层	共7层	2010年建板楼	链家网签约	47535	房本满两年
http://bj.lianjia.com/chengjiao/BJHD90468656.html	西山公馆	2室2厅	119	东 西	精装	有电梯	2015-11	2015.11.07	570	高楼层	共7层	2010年建板楼	链家网签约	47895	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD89494519.html	西山公馆	3室2厅	151	南 北	精装	有电梯	2015-10	2015.10.11	720	中楼层	共6层	2010年建板楼	链家网签约	47581	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD90309614.html	西山公馆	3室2厅	151	南 北	精装	有电梯	2015-09	2015.09.14	730	低楼层	共7层	2010年建板楼	链家网签约	48370	EmptyInfo
EmptyLink	西山公馆	--室--厅	102	暂无数据	其他	有电梯	2015-09	2015.09	暂无	未知楼层	共7层	2010年建板楼	自行成交	暂无均价	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD90386471.html	西山公馆	2室2厅	113	南 西 北	其他	有电梯	2015-09	2015.09	暂无	未知楼层	共7层	2010年建板楼	可靠第三方成交	暂无均价	房本满两年
http://bj.lianjia.com/chengjiao/BJHD89286707.html	西山公馆	3室2厅	151	南 北	精装	有电梯	2015-08	2015.08.22	750	中楼层	共7层	2010年建板楼	链家网签约	49695	房本满两年
http://bj.lianjia.com/chengjiao/BJHD90802197.html	西山公馆	1室1厅	69	西	精装	有电梯	2015-08	2015.08	暂无	低楼层	共6层	2010年建板楼	可靠第三方成交	暂无均价	房本满两年
http://bj.lianjia.com/chengjiao/BJHD89873446.html	西山公馆	1室1厅	69	东	精装	有电梯	2015-08	2015.08	暂无	低楼层	共6层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
EmptyLink	西山公馆	--室--厅	70	暂无数据	其他	有电梯	2015-08	2015.08	暂无	低楼层	共6层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD89601808.html	西山公馆	3室1厅	132	东 西	精装	有电梯	2015-06	2015.06.14	655	低楼层	共7层	2010年建板楼	链家网签约	49681	EmptyInfo
